ïmedianearnings,meanearnings,emprate,laborpart,percentemploymentstatuscivilianl,dpark,dmarket,test,id,id2,geography,govworkers,bachelorsorhigher,mtraveltime,nonag,selfemp,financesectorinvest,oldagedepratio,meanhousingsize,occhealth2,popdensity,v22,v23,v24,estimatesexandagetotalpopulation,estimateemploymentstatuspopulati,v27,sqmiles,estimateinthelaborforceemployedw,v30,estimateinthelaborforcenoninst,v32,occhealth,latitude,longitude
25411,54692,90.8,60.3,9.2,19.9102,24.17264,.4647769,"1400000US23017965800",2.302e+10,"Census Tract 9658, Oxford County, Maine",13.3,17.1,32.1,97.7,10.1,4.3,32,2.87,.944,26.42823,"1400000US23017965800",2.302e+10,"Census Tract 9658, Oxford County, Maine",3563,3027,9.2,134.818,93,,1659,93,.0560579,44.42918,-70.38221
26226,67482,95,60,5,13.16751,34.13277,.463921,"1400000US23017965900",2.302e+10,"Census Tract 9659, Oxford County, Maine",15,32.7,27.9,97.8,12.5,7.7,39.2,2.44,.931,33.9482,"1400000US23017965900",2.302e+10,"Census Tract 9659, Oxford County, Maine",2938,2393,5,86.544,90,,1295,90,.0694981,44.43277,-70.72407
25891,62082,94.8,62.3,5.2,19.01156,32.32255,.5009665,"1400000US23017966000",2.302e+10,"Census Tract 9660, Oxford County, Maine",12.5,22.6,29.4,95,9.4,3.5,29.4,3.17,.933,12.8008,"1400000US23017966000",2.302e+10,"Census Tract 9660, Oxford County, Maine",3104,2634,5.2,242.485,101,,1499,101,.0673783,44.30772,-70.79829
24500,50449,88.8,58.9,11.2,21.37951,21.49674,.4242424,"1400000US23017966100",2.302e+10,"Census Tract 9661, Oxford County, Maine",17.2,11.5,29.2,96.7,10.9,5.7,25.1,2.86,.945,87.12669,"1400000US23017966100",2.302e+10,"Census Tract 9661, Oxford County, Maine",2112,1713,11.2,24.241,52,,951,52,.0546793,44.31928,-70.52264
22961,49469,86.8,48.3,13.2,16.26272,17.08731,.3572263,"1400000US23017966200",2.302e+10,"Census Tract 9662, Oxford County, Maine",9.8,14.7,29.1,100,9,3.9,30.1,2.395,.859,125.9173,"1400000US23017966200",2.302e+10,"Census Tract 9662, Oxford County, Maine",5134,4373,13.2,40.773,269,,1904,269,.1412815,44.248,-70.49081
25163,58745,94.4,66.9,5.6,15.50532,14.05733,.5088544,"1400000US23017966300",2.302e+10,"Census Tract 9663, Oxford County, Maine",10,17,30,100,6.4,3.4,19,2.705,.929,60.29685,"1400000US23017966300",2.302e+10,"Census Tract 9663, Oxford County, Maine",3614,2912,5.6,59.937,131,,1858,131,.0705059,44.26004,-70.39038
28336,56029,95.7,59,4.3,10.71921,15.59854,.4587196,"1400000US23017966400",2.302e+10,"Census Tract 9664, Oxford County, Maine",15.8,19.5,32.2,96.6,11.2,7.3,28.6,2.995,.971,86.40544,"1400000US23017966400",2.302e+10,"Census Tract 9664, Oxford County, Maine",6795,5518,4.3,78.641,88,,3025,88,.0290909,44.11734,-70.52748
23144,48796,94.7,62.8,5.3,18.58209,21.4683,.4499192,"1400000US23017966500",2.302e+10,"Census Tract 9665, Oxford County, Maine",6.1,12.8,29.4,94,9,4.5,35.2,2.84,.918,109.9449,"1400000US23017966500",2.302e+10,"Census Tract 9665, Oxford County, Maine",4952,3748,5.3,45.041,185,,2252,185,.0821492,44.22587,-70.61002
27115,64218,95.8,55.4,4.2,21.29724,30.00791,.4453552,"1400000US23017966600",2.302e+10,"Census Tract 9666, Oxford County, Maine",11.9,22.1,30.6,85.7,11.7,2.1,39.1,2.65,.952,23.95885,"1400000US23017966600",2.302e+10,"Census Tract 9666, Oxford County, Maine",2928,2456,4.2,122.21,59,,1224,59,.0482026,44.18184,-70.80766
21577,52033,91.7,59.7,8.3,20.52205,36.45509,.4435626,"1400000US23017966700",2.302e+10,"Census Tract 9667, Oxford County, Maine",11.3,28.7,20.8,98.7,14.6,3,43.5,2.52,.962,58.32578,"1400000US23017966700",2.302e+10,"Census Tract 9667, Oxford County, Maine",3402,2755,8.3,58.328,54,,1425,54,.0378947,44.05551,-70.94459
28182,63905,95,64.1,5,14.69319,34.57575,.490172,"1400000US23017966800",2.302e+10,"Census Tract 9668, Oxford County, Maine",9.5,27.4,33.4,91.1,14.4,5.5,29.7,3.01,.931,26.95607,"1400000US23017966800",2.302e+10,"Census Tract 9668, Oxford County, Maine",2442,1966,5,90.592,79,,1137,79,.0694811,43.93617,-70.87041
23136,53702,94.3,55.4,5.7,13.7036,31.60739,.4181397,"1400000US23017966900",2.302e+10,"Census Tract 9669, Oxford County, Maine",11.2,12,35.5,98.4,12.1,4,26.4,3.055,.943,49.98178,"1400000US23017966900",2.302e+10,"Census Tract 9669, Oxford County, Maine",3451,2764,5.7,69.045,83,,1464,83,.056694,43.84891,-70.83157
20972,41361,97.1,65.9,2.9,19.67212,1.565888,.5119407,"1400000US23019000200",2.302e+10,"Census Tract 2, Penobscot County, Maine",10.2,28.2,14,100,6.2,6.4,18.5,2.03,.932,5453.737,"1400000US23019000200",2.302e+10,"Census Tract 2, Penobscot County, Maine",3643,2964,2.9,.668,128,,1891,128,.0676891,44.80389,-68.76373
27655,68863,92.3,60.7,7.7,21.22137,2.516675,.4635246,"1400000US23019000300",2.302e+10,"Census Tract 3, Penobscot County, Maine",17,34.6,17.1,98.8,3.4,6.9,30.5,2.345,.929,1614.281,"1400000US23019000300",2.302e+10,"Census Tract 3, Penobscot County, Maine",4880,4069,7.7,3.023,165,,2310,165,.0714286,44.82368,-68.74869
33281,80081,97.8,73.7,2.2,19.89426,.996749,.5831579,"1400000US23019000400",2.302e+10,"Census Tract 4, Penobscot County, Maine",20,41.9,12.6,91.9,6.3,2.7,17.4,2.34,.923,4506.652,"1400000US23019000400",2.302e+10,"Census Tract 4, Penobscot County, Maine",2375,1922,2.2,.527,103,,1331,103,.0773854,44.81297,-68.77589
